repo,deploymentFrequency,leadTimeForChanges,meanTimeToRecover,changeFailureRate
Carthage/Carthage,9.011756983497277,50.61511027120083,80.89583344680464,58.62068965517241
casbin/casbin,38.36657280260389,11.385314964011863,20.068089037698414,50.23255813953488
casdoor/casdoor,267.30681879157163,10.73267744465595,10.673953426932366,24.92753623188406
charliermarsh/ruff,498.57769220088795,0.2735375330687831,0.898096251493429,77.41935483870968
chartist-js/chartist,7.580748092144742,45.63585124989666,84.743953125,40
citizenfx/fivem,606.8502609532627,7.1613827938461325,5.5332301731078894,4.8174286590978825
ClementTsang/bottom,15.043087677392354,24.535837292609354,41.543390967498105,61.29032258064516
cloudflare/wrangler,21.99158977498739,17.387388739680443,65.290881917528,63.63636363636363
cmus/cmus,0.8192944085589425,282.1686177102517,586.9527967592593,42.857142857142854
codenotary/immudb,13.866567882837806,25.790237810037894,34.337805555555555,61.76470588235294
codesandbox/sandpack,146.9998707664533,3.2693556281387326,26.836122685185188,26.271186440677965
cointop-sh/cointop,14.43784320416964,16.62572589301048,40.72799296982168,64.70588235294117
Col-E/Recaf,41.7299161484039,48.517080518508834,19.061223357791754,34.375
concrete-utopia/utopia,137.11360332059328,25.259817518201526,50.15448419887279,8.012820512820513
containerd/nerdctl,21.463076231676336,10.313589906395759,27.351095679012346,95
conventional-changelog/commitlint,21.409150719883584,71.36523308623039,168.2711653377915,28.275862068965516
cortexlabs/cortex,17.528578637168504,13.511224421739747,42.503597296893666,75.80645161290323
cortexproject/cortex,18.257895553675198,32.625467772782045,127.62861900252524,33.333333333333336
crimx/ext-saladict,31.803428497640535,29.934351094004395,28.048145218002816,35.67567567567568
crossplane/crossplane,22.762012275102787,32.639901940577424,66.97530873842592,46.91358024691358
CrunchyData/postgres-operator,20.7939327662239,51.65226871087637,47.10681970164609,16.666666666666668
cssinjs/jss,23.34888675167999,20.499434497494843,57.4757550925926,36.46408839779006
cubefs/cubefs,9.90102081838333,40.756898250483026,41.90668330439815,61.76470588235294
cytopia/devilbox,9.041761104437755,118.09800383895463,132.7888990457294,52.63157894736842
dagger/dagger,54.424549862400646,12.258756981079848,56.38453386350059,40
danger/danger-js,37.33427676915798,8.671276880670833,124.11294984567901,21.296296296296298
danielgindi/Charts,4.840612827580502,41.58542397414052,91.33215324074075,55.55555555555556
dani-garcia/vaultwarden,10.333495903826783,25.262000857383992,67.38450900607639,81.81818181818181
date-fns/date-fns,23.79834299950627,23.147075842119843,63.03442042278127,31.746031746031747
ddddxxx/LyricsX,7.517286771146527,39.74618375765642,38.57849168771044,31.57894736842105
denisidoro/navi,28.194818182939812,11.275369266484693,39.01064625420875,46.666666666666664
deployphp/deployer,16.75206748555725,21.983438497083423,108.45072310405642,34.375
dexidp/dex,11.28372874383978,49.0289991622731,36.8989923088411,44.15584415584416
dgraph-io/badger,7.779536336208569,81.66336723110096,154.80130908869396,58.97435897435897
digitalocean/doctl,20.82152764988187,57.635765811631416,40.42002522554606,37.42690058479532
direnv/direnv,6.183731966983873,52.00709371998831,161.3844385393046,46.478873239436616
distribworks/dkron,15.261329512528324,17.595275539874205,98.51088565779321,50
django/channels,9.198222240107294,42.53868809748981,104.80896047668038,27.868852459016395
django-extensions/django-extensions,10.911070001368804,45.73253853044244,130.32364417989416,31.092436974789916
django-oscar/django-oscar,8.367018569098144,174.09414068011463,279.54006615181993,18.29268292682927
dmlc/dgl,6.090559027246377,56.581722871737774,87.15775515572392,86.95652173913044
dmlc/xgboost,11.388723530912493,570.6260675416341,156.84811547550154,32.25806451612903
docker/cli,15.410128938338758,95.75406426081645,267.18164412768033,27.5
docker/docker-py,12.428531711910098,54.0832056150366,110.26037338969404,48.717948717948715
docsifyjs/docsify,32.357641928251276,29.43904319807108,274.47907485610614,33.333333333333336
doctrine/DoctrineBundle,9.551317014064649,60.27682284289424,124.62976957070708,48.45360824742268
dolanmiu/docx,10.363786378504168,43.500554202581974,119.96067226080248,37.28813559322034
downshift-js/downshift,45.14082590929777,4.543527182787853,55.741498971193415,32.91139240506329
dropwizard/metrics,9.51575678268142,68.19243731527494,203.91183476631394,13.223140495867769
dubzzz/fast-check,34.44454666413102,52.888880180096635,50.92231069958847,21.656050955414013
dustin10/VichUploaderBundle,7.4955542155155115,57.88292815894516,178.24650347222223,38.27160493827161
earthly/earthly,40.107149667776824,7.630172879639987,27.775566999583848,64.81481481481481
elasticsearch-dump/elasticsearch-dump,29.58176562985523,10.093395574393837,72.76937821502058,10.038610038610038
electron/electron-packager,12.998656028138473,29.65604391993838,75.82780417478882,49.494949494949495
electron/fiddle,13.12240858102129,22.654832669897313,60.80116537823201,62.96296296296296
elves/elvish,5.979372729992996,143.13060871715734,222.20685416666666,41.1764705882353
encode/httpx,20.12838889844152,17.837332022372706,61.1289211560045,58.9041095890411
encode/uvicorn,25.994259324760332,15.102459785724093,161.70531339031336,39.436619718309856
epi052/feroxbuster,29.694067118610235,8.717659299175743,26.32516915954416,69.84126984126983
erusev/parsedown,8.378135286458527,422.20445955281616,317.31578169515666,32.432432432432435
evernote/android-job,7.760919732350766,22.999925171660426,8.05855541087963,28.571428571428573
exceljs/exceljs,22.67528399664142,26.278534040130612,254.7982892771804,28.94736842105263
expressjs/express,15.843378717444066,107.77155310023487,107.9378944830247,20.297029702970296
express-validator/express-validator,19.767454536337137,300.58163708847735,136.03317523640663,29.565217391304348
extrawurst/gitui,16.509938393689772,23.523069964732567,32.168436281676414,67.44186046511628
fabiospampinato/cash,6.142210520720816,36.41290500228772,127.90149385376755,36
facebook/draft-js,5.401156339171443,112.43993177155187,184.90986064814817,54.166666666666664
facebookexperimental/Recoil,10.359012350599485,34.20429803534498,76.36129203216375,45.833333333333336
facebook/relay,10.313795111258262,43.176115896142456,123.89220582561728,56.06060606060606
facebook/rocksdb,12.931254786311337,75.26932816820768,159.57745535714287,45.16129032258065
facebook/zstd,7.231663169384191,43.59418588707921,84.68114490740741,82.97872340425532
faker-js/faker,6.365435575233684,179.11022106978223,32.33264054232804,27.868852459016395
falconry/falcon,6.85238846434673,78.88289299965687,180.50722565157753,45.45454545454545
fdehau/tui-rs,5.853033345464723,43.62105137882447,73.91298661433171,63.63636363636363
filebrowser/filebrowser,19.516309275408666,54.19959919162773,118.82184116809117,25.24271844660194
fingerprintjs/fingerprintjs,11.99281871257596,42.1625383100127,193.69054508377425,42.52873563218391
firebase/FirebaseUI-Android,8.855663342301344,24.79079812885803,61.73378598027375,60.317460317460316
fkhadra/react-toastify,24.891226478561414,84.03402195273064,93.21283930311891,23.66412213740458
flannel-io/flannel,5.973766736063144,80.78517135716241,147.7584837962963,31.914893617021278
flatpak/flatpak,21.70751848076332,24.083215743609315,99.33833752394638,41.97530864197531
fluxcd/flux2,63.9832845458126,4.683216007902065,9.499340277777778,37.106918238993714
foambubble/foam,32.37004571093745,11.048203719778805,39.54989662607813,46.57534246575342
FormidableLabs/spectacle,18.448039522701006,23.87546117941712,134.09351655982906,40.15748031496063
FormidableLabs/victory,33.742028051143386,366.9302954436871,125.07034471971973,13.793103448275861
framework7io/framework7,40.124117211076054,15.716622003299504,44.129246487867185,10
FriendsOfSymfony/FOSRestBundle,8.63423225400289,68.18699433256172,166.30998456790124,30
FrozenNode/Laravel-Administrator,15.8713448698971,13.381032103487989,60.45369090207632,33.333333333333336
