repo,deploymentFrequency,leadTimeForChanges,meanTimeToRecover,changeFailureRate
hashicorp/terraform,30.75897062343659,22.800144017704877,88.53360424580563,77.25490196078431
hashicorp/vault,25.443103611768844,29.6258904608047,184.77534252829219,48.167539267015705
hasura/graphql-engine,37.71785410704979,27.269608067738005,79.165470003154,60
helm/helm,22.682777812368805,45.90999832313987,141.19074759590856,57.89473684210526
highcharts/highcharts,10.455874364000218,62.249974788001914,159.5836473953452,87.5
home-assistant/frontend,86.37620739781165,8.128627793793154,38.20066532892666,72.51732101616628
huggingface/datasets,24.294002469287097,15.045847029133887,33.008489152583,80.32786885245902
huggingface/transformers,26.76832932061961,16.4756549622857,43.27451802796173,49.523809523809526
hummingbot/hummingbot,20.303369135382997,33.73191103860516,73.53872314554722,83.33333333333333
influxdata/influxdb,40.90220357831646,498.87644599159586,323.99366901272055,25.745257452574524
influxdata/telegraf,27.09914435414127,33.046260031953445,127.72786595243355,74.5
ionic-team/ionic-framework,52.80166581366905,49.91581499921671,100.58441849987571,36
ipython/ipython,11.911409888768452,118.42321660946659,249.11513994848724,28.431372549019606
iterative/dvc,76.16960905508611,19.244848962529986,47.86868006304177,72.57281553398059
JanDeDobbeleer/oh-my-posh,412.5282139503659,1.1637566145119538,1.6500379720853857,25.835189309576837
jenkins-x/jx,707.0819905885479,64.70104367014028,25.680506335644708,39.65005931198102
jhipster/generator-jhipster,26.832455412068363,89.29546171843573,52.17678928970918,70.51282051282051
jina-ai/jina,140.76563131392982,2.9320332827283475,18.45911821249215,49.01960784313726
jquery/jquery,9.064009105349701,138.16572635502237,305.4314765625,40.689655172413794
jsx-eslint/eslint-plugin-react,24.726227862702217,37.571440570917645,192.5985122378006,64.24870466321244
kata-containers/kata-containers,27.097382065571807,264.70005550632305,51.61967685957864,58.53658536585366
keepassxreboot/keepassxc,5.130145212678461,123.48893295193737,137.35549231269235,88.67924528301887
kiali/kiali,59.86826783683464,474.54965070365125,158.25533442982456,67.52767527675277
kubeedge/kubeedge,13.641569002950023,51.55265472851397,85.33248798454174,56
kubernetes/dashboard,8.984153487458686,41.53946651158072,58.224349761380324,88.13559322033899
kubernetes/kops,27.2802969829185,35.35545938514004,94.86282461815449,54.54545454545455
kubernetes/minikube,21.16850211013229,17.1991271915729,55.244357429841735,93.38235294117646
kubevela/kubevela,62.29543608705108,10.421389844120963,31.006447848583875,51.470588235294116
kyverno/kyverno,42.84674538501481,20.884311492727985,48.02227451409743,69.79865771812081
Leaflet/Leaflet,4.900288114907264,321.1731999052574,273.2478739711934,57.142857142857146
lensapp/lens,77.12223361857843,13.097975050313797,45.59999245499605,54.411764705882355
Lightning-AI/lightning,39.87791848170053,23.199267744267885,58.68622614289859,55.86206896551724
LiskHQ/lisk-sdk,40.182020888796664,111.53831978864984,50.637404025139126,50.18450184501845
LMMS/lmms,3.424402064408114,1026.128524721316,343.3176443374084,84.31372549019608
localstack/localstack,9.647144044873299,117.79773812556397,171.20540207565386,96.42857142857143
MaaAssistantArknights/MaaAssistantArknights,202.3351076089619,3.3578762378910985,8.015230068367787,62.612612612612615
mapbox/mapbox-gl-js,23.319508121256312,179.00915841829774,141.02307179086083,55.8974358974359
marmelab/react-admin,43.11707655525605,21.20442008447608,45.017292399203,80.1498127340824
matplotlib/matplotlib,7.826452475878394,156.17259979788386,294.29489776959764,68.14159292035399
mattermost/focalboard,44.58521919303581,24.163648296512694,43.905455603823356,65.33333333333333
meilisearch/meilisearch,49.43622860234461,362.05292508395297,191.63285674415548,16.52173913043478
mermaid-js/mermaid,12.90005501076347,26.685142421447953,66.32498199588477,72.81553398058253
MetaMask/metamask-extension,49.978069628402,32.762029241859175,105.2103600335249,61.51315789473684
microsoft/azuredatastudio,25.47354074043578,23.741894847598797,58.34563891946012,83.87096774193549
microsoft/onefuzz,41.236382052577554,7.070299508692365,28.038454206924314,72.41379310344827
microsoft/playwright,31.184645500048216,17.399444890654944,77.34499365517625,51.16279069767442
microsoft/terminal,28.30279701203103,35.824106516303196,88.94193821723009,74.22680412371135
milvus-io/milvus,72.64581209858363,77.49718339089596,57.10379884576842,57.46606334841629
minetest/minetest,4.99986464609309,126.36627663299151,359.4399953656655,81.81818181818181
mishoo/UglifyJS,26.942219720371952,12.287624770781504,34.686272974101925,
mlflow/mlflow,24.175797853921484,18.548517507774033,87.39279788222478,60.37735849056604
moby/moby,27.30045262556999,180.73709004722537,130.79217231627192,50
mochajs/mocha,17.11443611598193,156.36021833938915,202.65805866686583,62.032085561497325
mui/material-ui,48.09567550240201,84.50715200666276,67.42923598581667,86.01036269430051
musescore/MuseScore,7.10455772239964,53.219057103122765,99.02505499069645,20.37037037037037
NativeScript/NativeScript,21.593961077016726,54.932187353368995,103.81756349854759,19.01840490797546
nats-io/nats-server,9.137881840756474,68.10183389068537,57.33629042658731,85.71428571428571
netbox-community/netbox,37.7095052520806,14.233050894869473,17.12677375239363,97.5103734439834
netdata/netdata,9.140314922413104,50.029289231705185,66.59168515317391,87.3015873015873
nextcloud/desktop,16.84774375138368,160.15318928848853,100.49487544914318,58.8235294117647
ng-alain/ng-alain,38.401110110403074,7.954821163463041,8.341136574074072,19.17098445595855
ng-bootstrap/ng-bootstrap,20.612629420713354,20.655527056670543,78.44727446743072,68.46153846153847
NG-ZORRO/ng-zorro-antd,25.381749882279934,9.882021599940831,47.05850251906318,65.64885496183206
NixOS/nix,5.171610204480977,216.8273188976237,211.19833726700554,52.525252525252526
nlohmann/json,8.148117571987624,77.56951533711694,152.19484995039684,11.11111111111111
nodejs/node,55.91950248732155,68.44779891483763,158.0671521042864,46.746347941567066
npm/cli,58.401782679408996,17.987569278926863,87.81340336629002,18.438761776581426
nrwl/nx,77.30963313743148,10.352956495675388,42.99456260818999,59.21787709497207
numpy/numpy,11.273553360057514,111.93908953190721,358.91294114230715,56.45933014354067
obsproject/obs-studio,20.372236555831996,38.828700820891285,170.57011788692668,45.02923976608187
OpenAPITools/openapi-generator,8.183318777612225,51.68215731408975,111.09693221208262,94.02985074626865
opencv/opencv,10.150949474443088,86.90155144174737,157.3784837962963,76.57657657657657
openlayers/openlayers,16.4421708367694,72.9839976425653,51.08937307098765,59.183673469387756
open-mpi/ompi,10.672755172966252,390.15109136471665,401.2337152049849,45.55555555555556
open-policy-agent/gatekeeper,19.94049196862523,22.956804914885396,62.95689344005023,62.857142857142854
openshift/origin,18.247324600679622,46.16446484772697,81.44746782895132,72.85714285714286
operator-framework/operator-sdk,21.19353559749333,19.90707711032383,69.47978993055555,43.87755102040816
osquery/osquery,15.271782786989931,20.856145036114953,69.2337666739959,82.78688524590164
palantir/plottable,23.691290073231286,8.574043159190014,42.487343626286616,73.3695652173913
pandas-dev/pandas,12.153471057694345,60.004396260011724,222.3440313983355,71.85185185185185
PCSX2/pcsx2,181.3488574898493,451.4794442304381,293.16503706998816,8.270676691729323
pingcap/tidb,38.38736817115531,133.44955630749763,193.30068017889081,63.402061855670105
pixijs/pixijs,19.783380053276847,45.168115068386406,140.278191038028,42.473118279569896
pnpm/pnpm,140.56789298041141,59.22200469558927,51.42539938799198,44.24379232505643
portainer/portainer,13.765191857782986,45.873708496814345,182.04094186084782,73.83177570093459
PostHog/posthog,28.99146296614608,49.692666450478335,41.265153737700984,75.9493670886076
PrefectHQ/prefect,35.78662247848419,82.44832905556983,21.182339766714765,21.05263157894737
prettier/prettier,20.192060860141236,52.519179470087714,106.57934006667254,77.77777777777777
prisma/prisma,38.5847827005391,73.78932439810852,63.85419834057308,69
projectcalico/calico,154.9741615876124,66.76341969760023,204.03730792548495,6.245564229950319
projectcontour/contour,17.972895289431293,19.10104023925486,56.04008956493745,60.22727272727273
projectdiscovery/nuclei,22.77783625392942,17.000439913303122,25.20931865828092,77.96610169491525
prysmaticlabs/prysm,34.831057473842655,35.034209822619815,49.337186168981475,82.64462809917356
pulumi/pulumi,63.06130670888679,14.03134875131333,52.76476469733718,75.87209302325581
puppeteer/puppeteer,26.368902015328686,10.90724016203704,80.5537516056519,62.77372262773723
PX4/PX4-Autopilot,14.32490647172543,188.05880829244254,124.93017478045054,60.526315789473685
pydantic/pydantic,16.888739974824695,28.601973308767953,123.0346186830656,82.22222222222223
pyinstaller/pyinstaller,3.0460838534838013,456.4123020190711,122.90749816648332,58.8235294117647
pypa/pip,9.81263110782071,72.79677795383705,280.97091342740504,57.57575757575758
pytest-dev/pytest,13.276768846534397,44.973424694308854,252.44789540989163,78.53107344632768
python/cpython,10.915931656830267,217.11656040451476,248.35914259364958,38.125
python-pillow/Pillow,6.53106294227259,56.21205000939278,374.27528543160093,60
python-poetry/poetry,25.358647894515023,36.665631948755085,166.92729442920285,60.68376068376068
rapidsai/cudf,14.090712248187193,45.21393775813286,68.74211093950517,51.282051282051285
rapidsai/cuml,16.214215462885733,44.6610168014727,68.16349762772525,43.75
RasaHQ/rasa,65.06867274394946,24.285302356703298,49.463993055555555,55.03875968992248
react-hook-form/react-hook-form,150.42134834737456,33.80299333948612,7.8589088393949496,36.594202898550726
reactioncommerce/reaction,21.768140184715335,57.32182938889097,83.38048204516892,49.72677595628415
RedisGraph/RedisGraph,27.851250336648544,41.81236196294133,81.89018288281561,66.66666666666667
redpanda-data/redpanda,97.53234161310135,21.43066501365445,48.560886958858596,73.54497354497354
redwoodjs/redwood,66.37828573786459,10.709633478689527,36.2602084274315,56.03864734299517
refined-github/refined-github,43.11380599112586,3.1702807022231725,63.40800432684794,76.55172413793103
remaxjs/remax,89.01010969615402,3.725667784998503,17.438608355379188,42.46031746031746
tqdm/tqdm,21.73577165401094,33.69764924145671,207.96955871212117,75.33333333333333
vuejs/vue,28.25546528284922,20.743527770382205,107.78340558046835,41.43426294820717
pypa/pipenv,52.493862896081716,13.714637323720027,53.90495974730889,53.442622950819676
youzan/vant-weapp,30.46190457476703,8.215232515192062,39.252357044544546,61.53846153846154
matrix-org/synapse,56.18274446182016,635.9379345315403,206.7828140019791,20.302375809935207
twpayne/chezmoi,37.8895844292583,7.319291679264299,29.939546385327635,74.66666666666667
electron-userland/electron-builder,92.2573329170593,63.59396339617521,64.87031956091312,38.0466472303207
