facebook/react,Medium,Low,Low,High,Medium
amplication/amplication,High,Medium,Medium,Terrible,Medium
angular/angular-cli,High,Medium,Medium,Terrible,Medium
angular/angular,High,Medium,Medium,Terrible,Medium
angular/flex-layout,High,Medium,Medium,Terrible,Medium
ansible/awx,High,Medium,Medium,Terrible,Medium
ant-design/ant-design,High,Medium,Medium,Terrible,Medium
apache/echarts,High,Medium,Medium,Terrible,Medium
appsmithorg/appsmith,High,Medium,Medium,Terrible,Medium
argoproj/argo-cd,High,Medium,Medium,Terrible,Medium
argoproj/argo-workflows,High,Medium,Medium,Terrible,Medium
Automattic/simplenote-electron,High,Medium,Medium,Terrible,Medium
avajs/ava,High,Medium,Medium,Terrible,Medium
babel/babel,High,Medium,Medium,Terrible,Medium
backstage/backstage,High,Medium,Medium,Terrible,Medium
bazelbuild/bazel,High,Medium,Medium,Terrible,Medium
bootstrap-vue/bootstrap-vue,High,Medium,Medium,Terrible,Medium
botpress/botpress,High,Medium,Medium,Terrible,Medium
caddyserver/caddy,High,Medium,Medium,Terrible,Medium
canonical/multipass,High,Medium,Medium,Terrible,Medium
certbot/certbot,High,Medium,Medium,Terrible,Medium
cert-manager/cert-manager,High,Medium,Medium,Terrible,Medium
chainer/chainer,High,Medium,Medium,Terrible,Medium
chaos-mesh/chaos-mesh,High,Medium,Medium,Terrible,Medium
cilium/cilium,High,Medium,Medium,Terrible,Medium
citusdata/citus,High,Medium,Medium,Terrible,Medium
clap-rs/clap,High,Medium,Medium,Terrible,Medium
ClickHouse/ClickHouse,High,Medium,Medium,Terrible,Medium
cli/cli,High,Medium,Medium,Terrible,Medium
coder/code-server,High,Medium,Medium,Terrible,Medium
conan-io/conan,High,Medium,Medium,Terrible,Medium
conda/conda,High,Medium,Medium,Terrible,Medium
containers/podman,High,Medium,Medium,Terrible,Medium
crossplane/crossplane,High,Medium,Medium,Terrible,Medium
cupy/cupy,High,Medium,Medium,Terrible,Medium
dagster-io/dagster,High,Medium,Medium,Terrible,Medium
dapr/dapr,High,Medium,Medium,Terrible,Medium
darkreader/darkreader,High,Medium,Medium,Terrible,Medium
dbeaver/dbeaver,High,Medium,Medium,Terrible,Medium
dbt-labs/dbt-core,High,Medium,Medium,Terrible,Medium
defold/defold,High,Medium,Medium,Terrible,Medium
denoland/deno,High,Medium,Medium,Terrible,Medium
DevExpress/testcafe,High,Medium,Medium,Terrible,Medium
dgraph-io/dgraph,High,Medium,Medium,Terrible,Medium
directus/directus,High,Medium,Medium,Terrible,Medium
docker/compose,High,Medium,Medium,Terrible,Medium
eclipse/che,High,Medium,Medium,Terrible,Medium
eclipse-theia/theia,High,Medium,Medium,Terrible,Medium
eslint/eslint,High,Medium,Medium,Terrible,Medium
etcd-io/etcd,High,Medium,Medium,Terrible,Medium
explosion/spaCy,High,Medium,Medium,Terrible,Medium
facebook/docusaurus,High,Medium,Medium,Terrible,Medium
firebase/firebase-tools,High,Medium,Medium,Terrible,Medium
frappe/erpnext,High,Medium,Medium,Terrible,Medium
frappe/frappe,High,Medium,Medium,Terrible,Medium
fwupd/fwupd,High,Medium,Medium,Terrible,Medium
getsentry/sentry-javascript,High,Medium,Medium,Terrible,Medium
gitpod-io/gitpod,High,Medium,Medium,Terrible,Medium
go-gitea/gitea,High,Medium,Medium,Terrible,Medium
golangci/golangci-lint,High,Medium,Medium,Terrible,Medium
GoogleChrome/lighthouse,High,Medium,Medium,Terrible,Medium
GoogleContainerTools/skaffold,High,Medium,Medium,Terrible,Medium
google/filament,High,Medium,Medium,Terrible,Medium
googleforgames/agones,High,Medium,Medium,Terrible,Medium
gopasspw/gopass,High,Medium,Medium,Terrible,Medium
grafana/grafana,High,Medium,Medium,Terrible,Medium
grommet/grommet,High,Medium,Medium,Terrible,Medium
grpc/grpc-go,High,Medium,Medium,Terrible,Medium
halo-dev/halo,High,Medium,Medium,Terrible,Medium
hashicorp/consul,High,Medium,Medium,Terrible,Medium
hashicorp/nomad,High,Medium,Medium,Terrible,Medium
hashicorp/terraform-provider-azurerm,High,Medium,Medium,Terrible,Medium
hashicorp/terraform,High,Medium,Medium,Terrible,Medium
hasura/graphql-engine,High,Medium,Medium,Terrible,Medium
helm/helm,High,Medium,Medium,Terrible,Medium
home-assistant/frontend,High,Medium,Medium,Terrible,Medium
huggingface/datasets,High,Medium,Medium,Terrible,Medium
huggingface/transformers,High,Medium,Medium,Terrible,Medium
hummingbot/hummingbot,High,Medium,Medium,Terrible,Medium
influxdata/telegraf,High,Medium,Medium,Terrible,Medium
ionic-team/ionic-framework,High,Medium,Medium,Terrible,Medium
iterative/dvc,High,Medium,Medium,Terrible,Medium
